scopus_source_id,title,citescore,percentile,citation_count,scholarly_output,percent_cited,snip,sjr,rank,rank_outof,publisher,publication_type,open_access,scopus_asjc_code,subject_area,quartile,top_10,scopus_link,index,publisher2,percentile2,frequency,journal_website,review_time,open_access2,print_issn,e_issn,my_index,my_publisher,my_percentile,my_frequency,my_open_access
19270,International Journal of Software Engineering and Knowledge Engineering,0.79,30,177,223,41,0.704,0.184,49,70,World Scientific Publishing Co. Pte Ltd,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/19270,Scopus,Others,3,Monthly,http://www.worldscinet.com/ijseke/ijseke.shtml,,No,0218-1940,1793-6403,1.0,0.4,0.5,0.7,0.5
19400157014,Journal on Computing and Cultural Heritage,1.83,59,150,82,65,1.325,0.429,29,70,Association for Computing Machinery (ACM),Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/19400157014,Scopus,ACM,2,Quarterly,http://jocch.acm.org/,,No,1556-4673,1556-4711,1.0,0.25,0.3,0.2,0.5
19400157203,Journal of WSCG,0.48,14,20,42,33,0.425,0.138,60,70,Vaclav Skala Union Agency,Journal,YES,1704,Computer Graphics and Computer-Aided Design,Quartile4,,https://www.scopus.com/sourceid/19400157203,Scopus,Others,4,Bi-monthly,,,Yes,1213-6972,1213-6964,1.0,0.4,0.7,0.6,1.0
19600157322,Journal of Cheminformatics,4.52,90,990,219,83,1.385,1.499,7,70,Chemistry Central,Journal,YES,1704,Computer Graphics and Computer-Aided Design,Quartile1,Top 10%,https://www.scopus.com/sourceid/19600157322,Scopus,Others,1,Annual,https://jcheminf.biomedcentral.com/,14 weeks,Yes,1758-2946,,1.0,0.4,1.0,0.5,1.0
19700177033,Artnodes,0.12,6,8,68,9,0.388,0.116,66,70,Fundacio per la Universitat Oberta de Catalunya,Journal,YES,1704,Computer Graphics and Computer-Aided Design,Quartile4,,https://www.scopus.com/sourceid/19700177033,Scopus,Others,4,Annual,http://journals.uoc.edu/index.php/artnodes/,,Yes,1695-5951,,1.0,0.4,0.7,0.5,1.0
19700177406,Dynamic Games and Applications,1.33,45,125,94,60,0.967,0.425,39,70,Springer Science + Business Media,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/19700177406,Scopus,Springer,3,Quarterly,http://www.springer.com/mathematics/applications/journal/13235,,No,2153-0785,2153-0793,1.0,1.0,0.5,0.2,0.5
19700186865,International Journal of Computer Games Technology,1.88,62,60,32,59,1.364,0.268,26,70,Hindawi Publishing Corporation,Journal,YES,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/19700186865,Scopus,Others,2,Annual,https://www.hindawi.com/journals/ijcgt/,18 weeks,Yes,1687-7047,1687-7055,1.0,0.4,0.3,0.5,1.0
19700201037,CoDesign,3.21,80,186,58,83,1.853,0.552,14,70,Taylor and Francis Ltd.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile1,,https://www.scopus.com/sourceid/19700201037,Scopus,Taylor and Francis,1,Quarterly,http://www.tandfonline.com/loi/ncdn20,,No,1571-0882,1745-3755,1.0,0.55,1.0,0.2,0.5
19900192316,International Journal of Architectural Computing,0.48,14,36,75,33,0.294,0.192,60,70,SAGE Publications Inc.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile4,,https://www.scopus.com/sourceid/19900192316,Scopus,Others,4,Quarterly,http://jac.sagepub.com/,,No,1478-0771,2048-3988,1.0,0.4,0.7,0.2,0.5
20952,Journal of Computing and Information Science in Engineering,2.11,67,285,135,67,1.072,0.671,23,70,American Society of Mechanical Engineers(ASME),Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/20952,Scopus,Others,2,Quarterly,https://asmedigitalcollection.asme.org/computingengineering,,No,1530-9827,1944-7078,1.0,0.4,0.3,0.2,0.5
